uid,class,observations,anomaly_max,p_reject_mean
151,wrong_size,1,8.704135590519723,0.0012659966519448312
152,good,5,6.882028139851225,0.00038156464141392526
154,good,3,4.32412629102191,0.027377110546667277
155,good,3,2.5490798321596095,0.0016704541369987683
156,wrong_size,3,7.864916033065294,0.0003637229771221951
157,good,3,7.4230576185672,0.004295471892841502
158,odd_colour,3,237.67133656383186,0.9661627311459352
160,odd_colour,4,171.07355831731056,0.9865666285058161
161,good,4,2.487666870563904,0.0016465558075387664
162,plastic_chip,2,23.27992170710823,0.28437210259717505
163,wrong_size,3,10.743095440526194,0.009681180252931399
164,good,4,9.272291680957993,0.07546271133958977
165,good,3,2.033934144473865,0.0017729979699435527
166,wrong_size,2,8.811049120091829,0.007857685374905363
169,good,3,2.924934189120045,0.001711350250449901
170,good,3,3.2867715741495647,0.000166611227944104
171,wrong_size,2,10.969838822153108,0.0003711299799231547
172,good,4,2.168905971998131,0.0004121617692170546
173,good,3,3.9137094938126267,7.703161588217321e-05
175,good,4,2.4344731304649754,0.0015221355282868734
176,plastic_chip,3,22.988274224594303,0.5777416530417054
178,wrong_size,3,10.049855492255874,0.09123435550308047
179,good,3,3.7225196880822957,2.2181142204715153e-05
181,good,3,4.318931751091588,2.9010056541516462e-05
182,plastic_chip,3,24.7091910501758,0.5162647564086909
183,good,4,3.6661100561395057,0.01845723168219211
184,good,3,2.7890137589120583,0.0003483862369188556
185,odd_colour,3,197.15282519511132,0.9130873740705118
186,wrong_size,3,11.622474900434192,0.002174913587419
187,good,1,4.305807322290152,0.02340442744787862
188,good,3,3.113671641640114,0.06561298881390241
189,good,4,7.014491189143126,0.0206125893943274
190,good,3,2.070394542657438,0.00013105587625573178
191,good,4,2.6015838423097213,8.345400408120066e-05
193,good,2,5.026162317777999,0.0008707263102673938
194,odd_colour,3,199.34352553756003,0.9758566412883484
196,good,3,2.65243112102012,0.03786423679700044
197,good,3,2.020809631101238,7.335902426171295e-05
198,odd_colour,4,163.43198401317568,0.9787863547242194
199,good,4,9.91852640043968,0.007405253526822476
200,good,5,5.9986171104287,0.26790419505091595
201,good,4,2.864914401323144,0.0009285186477757516
203,good,3,2.5629703193944424,0.00264551212948011
204,plastic_chip,2,23.4166121365022,0.20343263074903156
205,good,3,2.362901135196817,0.00011374157132836883
206,good,3,3.083343054467544,4.963189139339341e-05
207,good,3,3.218985436359749,0.00021660432481611
208,plastic_chip,1,22.15305620951938,0.3094090226056073
209,good,3,1.8367241623868704,0.0012832363959954887
210,good,5,7.388600506551143,0.00015011752323399174
211,wrong_size,3,11.186840240555991,0.0003114794636299155
212,wrong_size,2,6.3931027700309535,0.001244959016561614
213,good,3,2.4448474574038417,0.0001402646159836535
214,good,3,2.934472170358957,0.09380679296467294
215,good,3,2.5374288950516797,0.0005775522369591906
216,good,3,2.3735418249823046,3.075723149382488e-05
218,good,2,2.8219425500502417,0.0003236607914305908
220,plastic_chip,3,23.369670814651457,0.6957884426129249
221,wrong_size,4,7.777177475615258,0.002408130678866353
224,good,3,2.8344332604280056,0.005567320345424765
226,plastic_chip,3,21.093781305982727,0.40148912366741435
227,wrong_size,2,6.51227808951926,0.00025641797808228226
228,good,4,2.991509449233723,0.1377742554488945
229,odd_colour,2,222.54268326748763,0.9890778122018099
231,odd_colour,3,151.08535763687615,0.8336313318398473
232,good,3,3.2037879399793026,0.00010721105897173701
233,good,3,5.001329687608114,0.0015298154365738182
234,good,3,7.122155093454804,0.00039382091362107514
235,good,4,3.054548825651753,0.0007952744589155908
236,plastic_chip,1,24.712352030420938,0.49243055787814316
237,odd_colour,3,162.39460091487018,0.9688830294853341
238,odd_colour,3,132.0324705576015,0.9650125292132828
239,good,3,1.7632015416964255,0.0013437152892573879
240,wrong_size,3,13.4455247303609,0.010555343545988194
241,odd_colour,4,425.3438926981926,0.8843540791192178
242,odd_colour,3,139.78854556437776,0.9735107279588276
243,good,4,4.891033602755952,0.0010642869176324522
245,good,3,2.3903089785147666,2.899431254503434e-05
246,odd_colour,3,197.99924848699717,0.9682613412374815
247,good,4,2.858606924030847,0.00483613511035383
248,good,3,2.896496929939764,0.01378454719240677
249,wrong_size,3,9.164182421915324,0.006243641737757361
250,good,3,2.065654694900654,0.0006925851923381363
251,good,3,2.2318674345224605,0.012409277363482914
252,good,3,3.0099367218574833,0.0022587072282497685
253,good,4,2.1252534009848034,0.00040526965325840027
254,odd_colour,3,198.72192585749312,0.9582303063279731
256,good,3,3.7979697677444673,0.00021736620213166574
257,good,3,2.6556194753797673,6.080666624863735e-05
259,good,3,2.036194907147156,0.0011786671506495512
261,good,3,2.4033424920976127,0.0003994803440169783
262,plastic_chip,1,21.631709939358863,0.4262322422980239
264,good,3,2.8894094772523067,8.548358130393357e-05
265,good,3,2.462468499741034,3.032577793843419e-05
266,plastic_chip,2,22.03702972912749,0.39574691128508155
267,good,3,3.194335792733321,0.00022898726419961156
269,wrong_size,3,10.29731507847549,0.002040930245164951
270,good,4,8.677104977141472,0.004404074776435028
271,odd_colour,3,268.02710949240947,0.8241002213697409
272,good,3,2.350177552703349,0.00018570005033227872
273,good,3,3.1580233044981245,0.0009858810019826366
274,good,3,2.557806535392138,0.008072065612582363
275,good,4,3.582567766290072,0.05827653038909841
276,good,4,1.7888971479560178,0.00017475063780336784
277,good,3,2.0388747843605732,0.0005719165521493666
278,good,3,6.093404715679076,0.004986488159088921
279,good,4,1.9662623795033118,0.0003834416046319672
280,good,4,3.16601081493718,7.467320268150057e-05
281,good,1,3.5250847316456033,0.0009205875585039479
282,good,4,3.0796375960961266,0.0100887088240968
283,wrong_size,3,15.612047596523622,0.01996299744927258
284,good,3,3.286661962692467,0.00024243422490839413
286,good,4,2.604096642502481,2.1845987887629744e-05
288,wrong_size,3,10.641091008852877,0.0019203178094622977
289,good,3,2.824943478090914,4.941488491586123e-05
290,good,3,2.211282289617482,2.934246371262108e-05
291,good,3,7.622095095256456,0.0001870466540633153
292,wrong_size,3,8.869981871371296,0.0005174337156292854
293,good,3,1.5834365475837218,4.7828969511225754e-05
294,good,3,3.2543856611569635,0.005728884046475986
295,good,4,2.501325664036548,1.04600310273299e-05
296,good,4,3.866357618713302,0.14743856379471518
297,plastic_chip,2,22.964692085234613,0.3320165426672721
298,good,4,2.52344150413193,0.0007471938097751329
299,good,3,4.029851119075412,0.0008935655871481846
300,good,3,4.278077990141583,4.663218534764089e-05
301,good,4,3.5686443608702634,0.01594892120473907
302,good,4,3.509509787173976,0.0001311432406641154
304,good,4,3.0183703998859976,2.6167957764036824e-05
